VEH_LIGEROS_TAR_DIF,VEH_LIGEROS_AUTOMOVILES,VEH_PESADOS_TAR_DIF,VEH_PESADOS__2E,VEH_PESADOS_3E,VEH_PESADOS_4E,VEH_PESADOS_5E,VEH_PESADOS_6E,VEH_PESADOS_7E,VEH_LIGEROS_TOTAL,VEH_LIGEROS_IMD,VEH_PESADOS_TOTAL,VEH_PESADOS_IMD,VEH_TOTAL,VEH_IMD,ANIO,MES,PERIODO,PBI,Feriados,No_Laborables_Fuera_de_Feriado,Fines_de_Semana,Pandemia,CODIGO_PEAJE,ADMINIST,DEPARTAMENTO
1858.0000000000002,10243.999999999996,0.0,2570.9999999999995,2847.000000000001,814.9999999999999,345.00000000000017,4092.000000000001,12.999999999999996,12102.0,432.2,10683.0,381.5,22785.0,813.8,2017.0,2.0,201702.0,147.712570164296,0.0,0.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
2563.0,9992.99999999999,0.0,2833.000000000001,2654.6845911818173,632.9999999999999,266.00000000000006,4550.999999999996,11.0,12556.0,405.0,10454.0,337.2,23010.0,742.3,2017.0,3.0,201703.0,155.609028623216,0.0,0.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
2619.0,10235.000000000007,0.0,2859.0,2250.0000000000005,709.0000000000002,234.0,4899.999999999998,11.62830861331503,12854.0,428.5,10953.0,365.1,23807.0,793.6,2017.0,4.0,201704.0,156.899285181839,2.0,0.0,10.0,0.0,22PE5NACS1,Concesionado,San Martín
2903.999999999999,10656.999999999996,0.0,2831.0,2772.999999999999,742.9999999999998,290.0000000000001,5068.999999999998,9.000000000000002,13561.0,437.5,11715.0,377.9,25276.0,815.4,2017.0,5.0,201705.0,163.331442484155,1.0,0.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
2541.999999999999,10526.000000000002,0.0,2911.999999999999,2833.999999999999,748.9999999999999,296.00000000000006,5106.000000000003,11.0,13068.0,435.6,11908.0,396.9,24976.0,832.5,2017.0,6.0,201706.0,162.193228443208,1.0,1.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
3330.999999999999,13334.999999999995,0.0,2782.0000000000005,2938.0,816.0000000000001,327.0000000000001,5133.000000000001,14.0,16666.0,537.6,12010.0,387.4,28676.0,925.0,2017.0,7.0,201707.0,162.256285785506,2.0,0.0,10.0,0.0,22PE5NACS1,Concesionado,San Martín
2765.999999999999,13530.999999999989,0.0,2837.0,3227.999999999998,911.9999999999997,309.00000000000006,4839.957307061384,25.000000000000004,16297.0,525.7,11948.4,420.5,29334.0,946.3,2017.0,8.0,201708.0,162.549945310578,1.0,1.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
2654.0000000000005,10753.0,0.0,2745.0,2867.0,840.0000000000002,281.00000000000006,5172.999999999997,12.999999999999996,13407.0,446.9,11919.0,397.3,25326.0,844.2,2017.0,9.0,201709.0,164.031144172963,0.0,0.0,9.0,0.0,22PE5NACS1,Concesionado,San Martín
2649.0,10759.999999999996,0.0,2764.9999999999986,2948.999999999999,880.0000000000003,304.00000000000006,5210.000000000001,20.0,13409.0,432.5,12128.0,391.2,25537.0,823.8,2017.0,10.0,201710.0,164.678532418408,1.0,0.0,9.0,0.0,22PE5NACS1,Concesionado,San Martín
2349.0000000000005,9795.999999999993,0.0,2661.999999999999,2666.000000000001,811.0,311.00000000000006,4184.999999999999,12.999999999999996,12145.0,404.8,10648.0,354.9,22793.0,759.8,2017.0,11.0,201711.0,161.814653737277,1.0,0.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
