ID,ADMINIST,CODIGO_PEAJE,DEPARTAMENTO,NOMBRE_PEAJE,VEH_LIGEROS_TAR_DIF,VEH_LIGEROS_AUTOMOVILES,VEH_PESADOS_TAR_DIF,VEH_PESADOS__2E,VEH_PESADOS_3E,VEH_PESADOS_4E,VEH_PESADOS_5E,VEH_PESADOS_6E,VEH_PESADOS_7E,VEH_LIGEROS_TOTAL,VEH_LIGEROS_IMD,VEH_PESADOS_TOTAL,VEH_PESADOS_IMD,VEH_TOTAL,VEH_IMD,ANIO,MES,PERIODO
67,No concesionado,11PE28APRA1,Ica,Pacra,0,14530.0,0,3482.0,4852.0,1473.0,493.0,3373.0,17.0,14530,468.7,13690,441.6,28220,910.3,2014,1,201401
68,No concesionado,23PE1SDPRO1,Tacna,Pozo Redondo,0,24496.0,0,3233.0,1702.0,723.0,1018.0,1345.0,3.0,24496,790.2,8024,258.8,32520,1049.0,2014,1,201401
69,No concesionado,21PE36APDA1,Puno,Punta Perdida,0,1929.0,0,442.0,766.0,123.0,2873.0,1420.0,0.0,1929,62.2,5624,181.4,7553,243.6,2014,1,201401
70,No concesionado,08PE28ARUM1,Ayacucho,Rumichaca,184,6802.0,23,2415.0,4198.0,1317.0,335.0,2849.0,17.0,6986,225.4,11154,359.8,18140,585.2,2014,1,201401
71,No concesionado,08PE3SSAY1,Cusco,Saylla,0,26477.0,0,15225.0,3779.0,975.0,747.0,6288.0,84.0,26477,854.1,27098,874.1,53575,1728.2,2014,1,201401
72,No concesionado,21PE36ASIC1,Puno,Sicuyani,566,2996.0,0,776.0,862.0,128.0,3040.0,1324.0,0.0,3562,114.9,6130,197.7,9692,312.6,2014,1,201401
73,No concesionado,05PE28ASOC1,Ayacucho,Socos,0,15709.0,0,3388.0,3937.0,1299.0,330.0,2692.0,13.0,15709,506.7,11659,376.1,27368,882.8,2014,1,201401
74,No concesionado,20PE1NLTGD1,Piura,Tambogrande,0,52523.0,0,10885.0,1985.0,402.0,672.0,3038.0,4.0,52523,1694.3,16986,547.9,69509,2242.2,2014,1,201401
75,No concesionado,15PE16TNA1,Lima,Tunán,0,22706.0,0,4972.0,5352.0,1221.0,680.0,5787.0,91.0,22706,732.5,18103,584.0,40809,1316.4,2014,1,201401
76,No concesionado,04PE1SYCA1,Arequipa,Yauca,0,16944.0,0,4363.0,8449.0,3035.0,6020.0,17396.0,339.0,16944,546.6,39602,1277.5,56546,1824.1,2014,1,201401
77,Concesionado,22PE5NACS1,San Martín,Aguas Claras,1957,7125.0,0,2421.0,2331.0,660.0,351.0,3496.0,16.0,9082,324.4,9275,331.2,18357,655.6,2014,2,201402
78,Concesionado,04PE1SCAM1,Arequipa,Camaná,0,27036.0,0,6780.0,4465.0,1527.0,2863.0,8341.0,221.0,27036,965.6,24197,864.2,51233,1829.8,2014,2,201402
79,Concesionado,21PE3SCRO1,Puno,Caracoto,29950,78952.0,5187,17660.0,5066.0,1126.0,1502.0,4353.0,7.0,108902,3889.4,34901,1246.5,143803,5135.8,2014,2,201402
80,Concesionado,12PE3NCRA1,Junín,Casaracra-Concesión,34,39327.0,0,15852.0,17356.0,4157.0,3090.0,18113.0,147.0,39361,1405.8,58715,2097.0,98076,3502.7,2014,2,201402
81,Concesionado,08PE3SCSC1,Cusco,Ccasacancha (Huillque),0,20701.0,0,4155.0,3839.0,396.0,791.0,3944.0,100.0,20701,739.3,13225,472.3,33926,1211.6,2014,2,201402
82,Concesionado,13PE1NCMA1,La Libertad,Chicama,244,52617.0,8747,13190.0,13640.0,3250.0,2941.0,17417.0,149.0,52861,1887.9,59334,2119.1,112195,4007.0,2014,2,201402
83,Concesionado,15PE1SCLA1,Lima,Chilca,0,234382.0,0,25286.0,15313.0,3444.0,5621.0,21019.0,377.0,234382,8370.8,71060,2537.9,305442,10908.6,2014,2,201402
84,Concesionado,20PE1NJCLS1,Piura,Chulucanas,2670,28459.0,564,8446.0,3971.0,196.0,468.0,4642.0,85.0,31129,1111.8,18372,656.1,49501,1767.9,2014,2,201402
85,Concesionado,13PE08CDS1,La Libertad,Ciudad de Dios,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,2014,2,201402
86,Concesionado,15PE22CCA1,Lima,Corcona-Concesión,4201,71046.0,1049,23410.0,25900.0,6241.0,4147.0,28213.0,229.0,75247,2687.4,89189,3185.3,164436,5872.7,2014,2,201402
87,Concesionado,20PE1NCBA1,Piura,Cruce Bayóvar,0,10133.0,0,2964.0,7143.0,2163.0,1435.0,8418.0,56.0,10133,361.9,22179,792.1,32312,1154.0,2014,2,201402
88,Concesionado,14PE04BOLS1,Lambayeque,Desvío Olmos,816,9667.0,0,5259.0,5285.0,1708.0,750.0,4645.0,68.0,10483,374.4,17715,632.7,28198,1007.1,2014,2,201402
89,Concesionado,04PE1SEFS1,Arequipa,El Fiscal,0,8110.0,0,1050.0,2356.0,435.0,1643.0,3236.0,51.0,8110,289.6,8771,313.2,16881,602.9,2014,2,201402
90,Concesionado,15PE1NEPS1,Lima,El Paraíso,0,92610.0,0,38749.0,31878.0,10014.0,8001.0,42546.0,369.0,92610,3307.5,131557,4698.5,224167,8006.0,2014,2,201402
91,Concesionado,15PE1NFZA1,Lima,Fortaleza,0,21005.0,0,6203.0,12908.0,4137.0,2940.0,15577.0,147.0,21005,750.2,41912,1496.9,62917,2247.0,2014,2,201402
92,Concesionado,02PE1NHUY1,Áncash,Huarmey,0,40475.0,0,11861.0,24916.0,8184.0,5750.0,30376.0,347.0,40475,1445.5,81434,2908.4,121909,4353.9,2014,2,201402
93,Concesionado,11PE1SICA1,Ica,Ica,0,45342.0,0,12629.0,13049.0,2639.0,4445.0,15817.0,275.0,45342,1619.4,48854,1744.8,94196,3364.1,2014,2,201402
94,Concesionado,18PE36ILO1,Moquegua,Ilo,0,26290.0,0,2382.0,704.0,124.0,1773.0,1391.0,17.0,26290,938.9,6391,228.2,32681,1167.2,2014,2,201402
95,Concesionado,11PE1SJAY1,Ica,Jahuay Chincha,0,52982.0,0,14274.0,16019.0,3260.0,5258.0,20730.0,275.0,52982,1892.2,59816,2136.3,112798,4028.5,2014,2,201402
96,Concesionado,20PE02ALLA1,Piura,Loma Larga Baja,0,3745.0,0,2340.0,262.0,4.0,10.0,34.0,34.0,3745,133.8,2684,95.9,6429,229.6,2014,2,201402
97,Concesionado,21PE34BMNI1,Puno,Macusani,965,2477.0,69,617.0,531.0,108.0,216.0,1177.0,10.0,3442,122.9,2728,97.4,6170,220.4,2014,2,201402
98,Concesionado,11PE30MNA1,Ica,Marcona,0,23079.0,0,4598.0,1657.0,98.0,152.0,1015.0,12.0,23079,824.2,7532,269.0,30611,1093.2,2014,2,201402
99,Concesionado,04PE34MRI1,Arequipa,Matarani Concesión,0,47005.0,0,11322.0,1704.0,811.0,2968.0,12854.0,237.0,47005,1678.8,29896,1067.7,76901,2746.5,2014,2,201402
100,Concesionado,13PE10AMEO1,La Libertad,Menocucho (Quirihuac),0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,2014,2,201402
101,Concesionado,14PE1NJMOC1,Lambayeque,Mocce,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,2014,2,201402
102,Concesionado,18PE1SMTV1,Moquegua,Montalvo,0,9321.0,0,1045.0,2576.0,549.0,1646.0,3254.0,49.0,9321,332.9,9119,325.7,18440,658.6,2014,2,201402
103,Concesionado,14PE1NMRE1,Lambayeque,Mórrope,0,12076.0,0,3259.0,6997.0,2183.0,1471.0,7437.0,57.0,12076,431.3,21404,764.4,33480,1195.7,2014,2,201402
104,Concesionado,22PE5NMYB1,San Martín,Moyobamba,38,25028.0,1723,3240.0,2419.0,647.0,317.0,3963.0,17.0,25066,895.2,12326,440.2,37392,1335.4,2014,2,201402
105,Concesionado,13PE1NPGA1,La Libertad,Pacanguilla,434,25839.0,0,7357.0,11507.0,3115.0,2488.0,13401.0,116.0,26273,938.3,37984,1356.6,64257,2294.9,2014,2,201402
106,Concesionado,20PE02PAI1,Piura,Paita,6240,51492.0,680,9394.0,3777.0,465.0,1101.0,5921.0,135.0,57732,2061.9,21473,766.9,79205,2828.8,2014,2,201402
107,Concesionado,18PE36APCL1,Moquegua,Pampa Cuéllar,0,11035.0,0,1971.0,1611.0,433.0,3733.0,2381.0,9.0,11035,394.1,10138,362.1,21173,756.2,2014,2,201402
